BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,NumberofBuildings,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,ENERGYSTARScore
NonResidential,Retail Store,1914,1,20000,1.0,27.89999962,557863.6875,163500.5,0.0,3.89,75.0
NonResidential,Warehouse,1955,2,32400,1.0,7.599999905,248616.0,72865.20313,0.0,1.73,91.0
Multifamily LR (1-4),Mixed Use Property,2008,4,84147,1.0,30.79999924,1618535.75,474365.6875,0.0,11.28,85.0
NonResidential,Supermarket / Grocery Store,1962,1,25159,1.0,344.1000061,8905287.0,1429919.75,40264.00391,247.85,38.0
Multifamily LR (1-4),Mixed Use Property,2007,4,83175,1.0,49.40000153,2531163.0,617642.125,4237.679688,37.2,89.0
Nonresidential COS,Other,1948,1,27247,1.0,90.40000153,2332996.5,259177.4063,14486.8291,83.1,64.875
Multifamily MR (5-9),Mid-Rise Multifamily,1928,5,58735,1.0,36.20000076,2128963.5,122181.0,17120.82031,93.83,96.0
Multifamily LR (1-4),Low-Rise Multifamily,2015,3,29848,2.0,32.29999924,990361.5,290258.3125,0.0,6.9,48.0
Multifamily LR (1-4),Low-Rise Multifamily,1928,3,34455,1.0,52.09999847,1639849.25,81082.10156,13631.96973,74.33,82.0
Multifamily LR (1-4),Low-Rise Multifamily,1990,4,28038,1.0,27.10000038,759405.6875,222569.0938,0.0,5.29,83.0
Multifamily LR (1-4),Low-Rise Multifamily,1924,3,24939,1.0,23.89999962,595978.0,174671.2031,0.0,4.15,81.0
NonResidential,Distribution Center,1955,1,26680,1.0,7.199999809,243518.2031,71371.10156,0.0,1.7,92.0
NonResidential,Warehouse,1953,1,31521,1.0,56.70000076,1788148.0,211296.7969,10672.03223,61.71,6.0
NonResidential,Warehouse,1951,1,24000,1.0,52.40000153,1257033.5,127841.0,8208.400391,46.64,72.375
NonResidential,Self-Storage Facility,1952,1,21900,1.0,60.90000153,1333637.625,32880.0,12214.51074,65.65,78.625
